user,code,quantity,target_date,store,name,unit,LT,price,buy_price,status,order_id
ohhsalad,100004,1,2022-03-14,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid50976285
ohhsalad,100002,2,2022-03-15,시청,피양파,1Kg,1,1500,1500,주문완료,oid58201522
ohhsalad,100003,2,2022-03-15,시청,계란/특란,1판,1,5700,5700,주문완료,oid56406518
ohhsalad,100002,2,2022-03-16,시청,피양파,1Kg,1,1500,1500,주문완료,oid70472272
ohhsalad,100003,2,2022-03-16,시청,계란/특란,1판,1,5700,5700,주문완료,oid85584199
ohhsalad,100004,1,2022-03-16,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid6464751
ohhsalad,100001,1,2022-03-17,시청,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid77320266
ohhsalad,100002,4,2022-03-17,시청,피양파,1Kg,1,1500,1500,주문완료,oid4639095
ohhsalad,100003,2,2022-03-17,시청,계란/특란,1판,1,5700,5700,주문완료,oid32670141
ohhsalad,100002,4,2022-03-18,시청,피양파,1Kg,1,1500,1500,주문완료,oid3678695
ohhsalad,100003,3,2022-03-18,시청,계란/특란,1판,1,5700,5700,주문완료,oid13753577
ohhsalad,100004,2,2022-03-18,시청,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid61100461
ohhsalad,100005,1,2022-03-18,시청,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid4721324
